"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27191","should add a new todo item","","2026-04-17","passed","2026-04-17","","TodoMVC","",""
"","71","DELETE /users/2 — expects 200","","2026-04-17","passed","2026-04-17","","Users API","",""
"","22597","should add multiple todo items","","2026-04-17","passed","2026-04-17","","TodoMVC","",""
"","799","should handle a full lifecycle of adding, completing, filtering and clearing","","2026-04-17","passed","2026-04-17","","TodoMVC","",""
"","2907","should mark a todo item as completed","","2026-04-17","passed","2026-04-17","","TodoMVC","",""
"","1597","should display correct remaining items count","","2026-04-17","passed","2026-04-17","","TodoMVC","",""
"","847","should delete a todo item","","2026-04-17","passed","2026-04-17","","TodoMVC","",""
"","97","GET /users — returns 200, non-empty array with id/email/name","","2026-04-17","passed","2026-04-17","","Users API","",""
"","228","PUT /users/2 — sends updated name/job, expects 200 with matching data","","2026-04-17","passed","2026-04-17","","Users API","",""
"","50","GET /users/2 — returns 200 with id:2 and truthy email/name","","2026-04-17","passed","2026-04-17","","Users API","",""
"","396","GET /users/9999 — returns 404","","2026-04-17","passed","2026-04-17","","Users API","",""
"","72","POST /users — sends name/job, expects 201 with matching data and defined id","","2026-04-17","passed","2026-04-17","","Users API","",""
"","1023","should filter active and completed todos","","2026-04-17","passed","2026-04-17","","TodoMVC","",""
